Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
272100,17696242,74,9,6,1,142.56,87.12,62.7,107,1,0.06663676,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,75,9,6,1,142.56,87.12,62.7,107,1,0.12643774,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,76,9,6,1,142.56,87.12,62.7,107,1,0.18798763,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,77,9,6,1,142.56,87.12,62.7,107,1,0.24268764,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,78,9,6,1,142.56,87.12,62.7,107,1,0.30504698,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,79,9,6,1,142.56,87.12,62.7,107,1,0.36741272,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,80,9,6,1,142.56,87.12,62.7,107,1,0.42620552,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,81,9,6,1,142.56,87.12,62.7,107,1,0.4878129,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,82,9,6,1,142.56,87.12,62.7,107,1,0.54268736,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,83,9,6,1,142.56,87.12,62.7,107,1,0.5981735,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
272100,17696242,90,9,6,1,142.56,87.12,62.7,107,1,1.0,0.5756670065129444,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,74,9,6,1,142.56,87.12,62.7,107,2,0.0666343,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,75,9,6,1,142.56,87.12,62.7,107,2,0.12749767,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,76,9,6,1,142.56,87.12,62.7,107,2,0.18326454,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,77,9,6,1,142.56,87.12,62.7,107,2,0.2473475,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,78,9,6,1,142.56,87.12,62.7,107,2,0.30642685,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,79,9,6,1,142.56,87.12,62.7,107,2,0.3645938,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,80,9,6,1,142.56,87.12,62.7,107,2,0.43114972,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,81,9,6,1,142.56,87.12,62.7,107,2,0.4774575,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,82,9,6,1,142.56,87.12,62.7,107,2,0.534165,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,83,9,6,1,142.56,87.12,62.7,107,2,0.5849633,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
147960,6388373,90,9,6,1,142.56,87.12,62.7,107,2,1.0,0.5759133414648313,0,0,0,0,0,1,0,0,0,0,1,0
268126,14674610,74,9,8,0,174.24,102.96,49.5,101,1,0.06704409,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,75,9,8,0,174.24,102.96,49.5,101,1,0.12576164,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,76,9,8,0,174.24,102.96,49.5,101,1,0.1852819,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,77,9,8,0,174.24,102.96,49.5,101,1,0.24576399,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,78,9,8,0,174.24,102.96,49.5,101,1,0.30426043,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,79,9,8,0,174.24,102.96,49.5,101,1,0.36410448,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,80,9,8,0,174.24,102.96,49.5,101,1,0.42148703,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,81,9,8,0,174.24,102.96,49.5,101,1,0.47795936,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,82,9,8,0,174.24,102.96,49.5,101,1,0.5231321,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,83,9,8,0,174.24,102.96,49.5,101,1,0.5730638,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
268126,14674610,90,9,8,0,174.24,102.96,49.5,101,1,1.0,0.5779197408673745,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,74,9,8,0,174.24,102.96,49.5,101,2,0.06849102,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,75,9,8,0,174.24,102.96,49.5,101,2,0.12290738,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,76,9,8,0,174.24,102.96,49.5,101,2,0.17660706,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,77,9,8,0,174.24,102.96,49.5,101,2,0.2414974,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,78,9,8,0,174.24,102.96,49.5,101,2,0.31571496,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,79,9,8,0,174.24,102.96,49.5,101,2,0.3566466,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,80,9,8,0,174.24,102.96,49.5,101,2,0.41371763,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,81,9,8,0,174.24,102.96,49.5,101,2,0.4830827,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,82,9,8,0,174.24,102.96,49.5,101,2,0.5363196,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,83,9,8,0,174.24,102.96,49.5,101,2,0.6058201,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
39085,1549284,90,9,8,0,174.24,102.96,49.5,101,2,1.0,0.5870866670396687,0,0,0,0,0,0,0,0,0,0,0,0
234583,12933685,74,8,8,0,184.8,73.92,66.0,97,1,0.06753593,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,75,8,8,0,184.8,73.92,66.0,97,1,0.12660325,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,76,8,8,0,184.8,73.92,66.0,97,1,0.18771122,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,77,8,8,0,184.8,73.92,66.0,97,1,0.24610966,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,78,8,8,0,184.8,73.92,66.0,97,1,0.30487633,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,79,8,8,0,184.8,73.92,66.0,97,1,0.36707833,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,80,8,8,0,184.8,73.92,66.0,97,1,0.4177473,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,81,8,8,0,184.8,73.92,66.0,97,1,0.47769013,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,82,8,8,0,184.8,73.92,66.0,97,1,0.5288473,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,83,8,8,0,184.8,73.92,66.0,97,1,0.57042074,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
234583,12933685,90,8,8,0,184.8,73.92,66.0,97,1,1.0,0.5811868947043066,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,74,8,8,0,184.8,73.92,66.0,97,2,0.06786817,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,75,8,8,0,184.8,73.92,66.0,97,2,0.12740539,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,76,8,8,0,184.8,73.92,66.0,97,2,0.18703096,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
